name,extension,type,size_kb,days_since_modified,important_keyword,important
(AAFCB)_(AAFCB)_Digitalizado_20260205-1419.pdf,pdf,document,287.83203125,13,0,0
1215405983019307008.ogg,ogg,other,22.376953125,26,0,0
AnyDesk.exe,exe,other,7758.9296875,160,0,0
Apostila ROMANOS EBD 2025.pdf,pdf,document,1819.5341796875,15,0,0
ArcInstaller.exe,exe,other,1957.3984375,4,0,0
Aula 0 Setup do Projeto - Bootcamp Treinos.mp4,mp4,other,1095352.138671875,7,1,1
AULA 2 BACK-END.txt,txt,document,0.1083984375,6,0,0
boleto.pdf,pdf,document,62.8115234375,35,0,0
bootcamp-treinos-certificado.pdf,pdf,document,32403.5576171875,7,0,0
Carrinho F1 1_43 - Lando Norris - Edição Senna (c_acrílico) Cyber Yellow.pdf,pdf,document,7.283203125,55,0,0
certificado.pdf,pdf,document,32403.5576171875,0,0,0
comandos usados (ordenado).txt,txt,document,2.1201171875,6,0,0
como_fazer_seu_perfil_de_linkedin_se_destacar_2025.pdf,pdf,document,976.51171875,63,0,0
COMPLETO+PROGRAMADOR+MILIONÁRIO.pdf,pdf,document,10707.6728515625,40,0,0
CRONOGRAMA DE TCC II - ARQUITETURA-ENGENHARIAS E TI - 2026-1 (1).pdf,pdf,document,172.9619140625,13,1,1
CRONOGRAMA DE TCC II - ARQUITETURA-ENGENHARIAS E TI - 2026-1.pdf,pdf,document,172.9619140625,21,1,1
desktop.ini,ini,other,0.275390625,267,0,0
Diogo_e_Eduardo_Anexo_A_-_TCC2_assinado_assinado.pdf,pdf,document,530.20703125,13,1,1
DUA.pdf,pdf,document,228.3359375,60,0,0
escala Min louvor MARÇO 2026.pdf,pdf,document,107.017578125,9,0,0
Escala Min. Louvor JANEIRO 2026.pdf,pdf,document,81.8330078125,65,0,0
FIIPT_Foto faixada.jpg,jpg,image,279.16015625,13,0,0
FII_Interna Pousada.jpg,jpg,image,278.0224609375,13,0,0
flstudio_win64_25.2.4.5242.exe,exe,other,1036997.28125,20,0,0
frente.jpeg,jpeg,image,79.703125,6,0,0
GuiadoJovensCristos.pdf,pdf,document,61299.2373046875,40,0,0
imprimir.zip,zip,other,2791.5029296875,41,0,0
Jovens+Cristaos+++Brindes.zip,zip,other,99387.9765625,40,0,0
nubankP.pdf,pdf,document,63.171875,35,0,0
nvm-setup.exe,exe,other,5480.7578125,16,0,0
refund_voucher_40196965718.pdf,pdf,document,5.8896484375,55,0,0
TCC_Backup_Inteligente[1].docx,docx,document,328.212890625,60,1,1
TemplatesePromptsLinkedIn.pdf,pdf,document,361.400390625,6,0,0
